英文术语,中文译名,学科
adverse drug reaction,药物不良反应,药理
drug drug interaction,药物相互作用,药理
cytochrome P450,细胞色素P450,药理
half life,半衰期,药理
steady state concentration,稳态血药浓度,药理
first pass effect,首过效应,药理
dose response relationship,量效关系,药理
placebo effect,安慰剂效应,临床研究
confounding factor,混杂因素,临床研究
selection bias,选择偏倚,临床研究
publication bias,发表偏倚,临床研究
statistical significance,统计学显著性,临床研究
power analysis,把握度分析,临床研究
sample size calculation,样本量计算,临床研究
primary endpoint,主要终点,临床研究
secondary endpoint,次要终点,临床研究
surrogate endpoint,替代终点,临床研究
number needed to treat,需要治疗的人数,临床研究
number needed to harm,需要伤害的人数,临床研究
absolute risk reduction,绝对风险降低,临床研究
relative risk reduction,相对风险降低,临床研究
sensitivity,灵敏度,临床研究
specificity,特异度,临床研究
positive predictive value,阳性预测值,临床研究
negative predictive value,阴性预测值,临床研究
likelihood ratio,似然比,临床研究
area under curve,曲线下面积,临床研究
receiver operating characteristic,受试者工作特征曲线,临床研究
informed consent,知情同意,医学伦理
institutional review board,机构审查委员会,医学伦理
declaration of Helsinki,赫尔辛基宣言,医学伦理
evidence based medicine,循证医学,临床研究
systematic review,系统综述,临床研究
case control study,病例对照研究,临床研究
cohort study,队列研究,临床研究
cross sectional study,横断面研究,临床研究
longitudinal study,纵向研究,临床研究
prospective study,前瞻性研究,临床研究
retrospective study,回顾性研究,临床研究
histopathology,组织病理学,病理
immunohistochemistry,免疫组织化学,病理
in situ hybridization,原位杂交,病理
polymerase chain reaction,聚合酶链反应,分子生物学
western blot,蛋白质印迹法,分子生物学
enzyme linked immunosorbent assay,酶联免疫吸附试验,分子生物学
flow cytometry,流式细胞术,分子生物学
next generation sequencing,下一代测序,分子生物学
genome wide association study,全基因组关联研究,遗传学
single nucleotide polymorphism,单核苷酸多态性,遗传学
copy number variation,拷贝数变异,遗传学
loss of heterozygosity,杂合性缺失,遗传学
DNA,脱氧核糖核酸,分子生物学
RNA,核糖核酸,分子生物学
PCR,聚合酶链反应,分子生物学
qPCR,实时荧光定量聚合酶链反应,分子生物学
RT-PCR,逆转录聚合酶链反应,分子生物学
Southern blot,DNA印迹法,分子生物学
Northern blot,RNA印迹法,分子生物学
ELISA,酶联免疫吸附测定,分子生物学
EMSA,电泳迁移率变动分析,分子生物学
ChIP,染色质免疫沉淀,分子生物学
RNAi,RNA干扰,分子生物学
siRNA,小干扰RNA,分子生物学
miRNA,微小RNA,分子生物学
lncRNA,长链非编码RNA,分子生物学
CRISPR,成簇规律间隔短回文重复序列,分子生物学
Cas9,CRISPR相关蛋白9,分子生物学
Plasmid,质粒,分子生物学
Vector,载体,分子生物学
Promoter,启动子,分子生物学
Enhancer,增强子,分子生物学
Exon,外显子,分子生物学
Intron,内含子,分子生物学
Splicing,剪接,分子生物学
Cell membrane,细胞膜,细胞生物学
Cytoplasm,细胞质,细胞生物学
Nucleus,细胞核,细胞生物学
Mitochondrion,线粒体,细胞生物学
Endoplasmic reticulum,内质网,细胞生物学
Golgi apparatus,高尔基体,细胞生物学
Lysosome,溶酶体,细胞生物学
Peroxisome,过氧化物酶体,细胞生物学
Cytoskeleton,细胞骨架,细胞生物学
Microtubule,微管,细胞生物学
Actin,肌动蛋白,细胞生物学
Myosin,肌球蛋白,细胞生物学
Cell cycle,细胞周期,细胞生物学
Mitosis,有丝分裂,细胞生物学
Meiosis,减数分裂,细胞生物学
Cell signaling,细胞信号转导,细胞生物学
Receptor,受体,细胞生物学
Ligand,配体,细胞生物学
Kinase,激酶,细胞生物学
Phosphatase,磷酸酶,细胞生物学
Transcription,转录,细胞生物学
Antigen,抗原,免疫学
Antibody,抗体,免疫学
Immunoglobulin,免疫球蛋白,免疫学
T cell,T细胞,免疫学
B cell,B细胞,免疫学
NK cell,自然杀伤细胞,免疫学
Macrophage,巨噬细胞,免疫学
Dendritic cell,树突状细胞,免疫学
Cytokine,细胞因子,免疫学
Chemokine,趋化因子,免疫学
Interleukin,白细胞介素,免疫学
Interferon,干扰素,免疫学
TNF,肿瘤坏死因子,免疫学
Complement,补体,免疫学
MHC,主要组织相容性复合体,免疫学
TCR,T细胞受体,免疫学
BCR,B细胞受体,免疫学
CD marker,分化簇标记,免疫学
Immune tolerance,免疫耐受,免疫学
Autoimmunity,自身免疫,免疫学
Hypersensitivity,超敏反应,免疫学
Bacterium,细菌,微生物学
Virus,病毒,微生物学
Fungus,真菌,微生物学
Parasite,寄生虫,微生物学
Gram stain,革兰染色,微生物学
Culture,培养,微生物学
Antibiotic,抗生素,微生物学
Antimicrobial,抗微生物药,微生物学
Pathogen,病原体,微生物学
Virulence,毒力,微生物学
Inoculation,接种,微生物学
Incubation,孵育,微生物学
Agar plate,琼脂平板,微生物学
Colony,菌落,微生物学
Sequencing,测序,微生物学
Strain,株,微生物学
Resistance,耐药性,微生物学
Susceptibility,敏感性,微生物学
Biofilm,生物被膜,微生物学
Endotoxin,内毒素,微生物学
Exotoxin,外毒素,微生物学
Bacteriophage,噬菌体,微生物学
Prion,朊病毒,微生物学
Viroid,类病毒,微生物学
Hypoxia,缺氧,病理生理学
Ischemia,缺血,病理生理学
Reperfusion,再灌注,病理生理学
Edema,水肿,病理生理学
Shock,休克,病理生理学
DIC,弥散性血管内凝血,病理生理学
Acidosis,酸中毒,病理生理学
Alkalosis,碱中毒,病理生理学
Electrolyte imbalance,电解质紊乱,病理生理学
Fever,发热,病理生理学
Pain,疼痛,病理生理学
Stress,应激,病理生理学
Adaptation,适应,病理生理学
Hypertrophy,肥大,病理生理学
Hyperplasia,增生,病理生理学
Atrophy,萎缩,病理生理学
Metaplasia,化生,病理生理学
Dysplasia,异型增生,病理生理学
Neoplasia,肿瘤形成,病理生理学
Metastasis,转移,病理生理学
Thrombosis,血栓形成,病理生理学
Embolism,栓塞,病理生理学
Infarction,梗死,病理生理学
Sepsis,脓毒症,病理生理学
Drug,药物,药理学
Agonist,激动剂,药理学
Antagonist,拮抗剂,药理学
Affinity,亲和力,药理学
Efficacy,效能,药理学
Potency,效价,药理学
LD50,半数致死量,药理学
ED50,半数有效量,药理学
Half-life,半衰期,药理学
Clearance,清除率,药理学
Volume of distribution,表观分布容积,药理学
Metabolism,代谢,药理学
Side effect,副作用,药理学
Toxicity,毒性,药理学
Tolerance,耐受性,药理学
Dependence,依赖性,药理学
Addiction,成瘾,药理学
Placebo,安慰剂,药理学
Dose-response curve,剂量-反应曲线,药理学
Skeleton,骨骼,解剖学
Skull,颅骨,解剖学
Vertebra,椎骨,解剖学
Rib,肋骨,解剖学
Sternum,胸骨,解剖学
Clavicle,锁骨,解剖学
Scapula,肩胛骨,解剖学
Humerus,肱骨,解剖学
Radius,桡骨,解剖学
Ulna,尺骨,解剖学
Pelvis,骨盆,解剖学
Femur,股骨,解剖学
Tibia,胫骨,解剖学
Fibula,腓骨,解剖学
Joint,关节,解剖学
Muscle,肌肉,解剖学
Nerve,神经,解剖学
Artery,动脉,解剖学
Vein,静脉,解剖学
Heart,心脏,解剖学
Lung,肺,解剖学
Liver,肝脏,解剖学
Kidney,肾脏,解剖学
Brain,脑,解剖学
Spinal cord,脊髓,解剖学
Tissue,组织,组织胚胎学
Epithelium,上皮组织,组织胚胎学
Connective tissue,结缔组织,组织胚胎学
Muscle tissue,肌组织,组织胚胎学
Nervous tissue,神经组织,组织胚胎学
Cartilage,软骨,组织胚胎学
Bone,骨组织,组织胚胎学
Blood,血液,组织胚胎学
Lymph,淋巴,组织胚胎学
Germ layer,胚层,组织胚胎学
Ectoderm,外胚层,组织胚胎学
Mesoderm,中胚层,组织胚胎学
Endoderm,内胚层,组织胚胎学
Embryo,胚胎,组织胚胎学
Fetus,胎儿,组织胚胎学
Placenta,胎盘,组织胚胎学
Amnion,羊膜,组织胚胎学
Chorion,绒毛膜,组织胚胎学
Allantois,尿囊,组织胚胎学
Yolk sac,卵黄囊,组织胚胎学
Gastrulation,原肠形成,组织胚胎学
Neurulation,神经胚形成,组织胚胎学
Organogenesis,器官发生,组织胚胎学
Histogenesis,组织发生,组织胚胎学
Cytodifferentiation,细胞分化,组织胚胎学
